sample_id,dataset_label,attack_cat,prediction,correct,normalScore,attackScore,inputHash,requestHash
0,Attack,Generic,Attack,true,87995708,143457515,8887757279013835773032061913822268453599000283814051580725312701369510562747,5708668040563418226061423920938009472961778936711283893994271103751762117626
1,Normal,Normal,Normal,true,143426748,88026475,2495260842517671390462195808142772322746918206878459285695948156517067698785,8432512143953555136841847123808841775973052630193625801006654486475699703785
2,Attack,Generic,Attack,true,32403056,199050167,13194589342595028681180816681837305320491825765452933889124243159659190395306,20660139368902847769074875755154586677542419517480240548513253687839365482192
3,Normal,Normal,Attack,false,1000,231452223,9575086797569138592139264878731907921070368940398084622764901585091557450289,19236133379332243898145725277879043890979366571840274399916119906520009872068
4,Normal,Normal,Normal,true,148381607,83071616,5657620035632173594472598949176901948699486538624096697527980949096576813868,16007186572300764418964990933865954154613837529455416539820896312632324045306
5,Normal,Normal,Attack,false,111247465,120205758,21337305811924077473352987129852723375755312007579609525231966786775325405766,11109199564781135722962321256783227848561634404504491645617965943736133034468
6,Attack,Exploits,Attack,true,112595743,118857480,6744858809825708190526959849989753981726331253889835662674014807857504474459,7755765959687345114962351487127438890293551217077391557006796026289931383315
7,Attack,Exploits,Attack,true,79165895,152287328,12746211869169507717100899279435181645372470861665442489215991196225932936607,11547648203091903185223499534241630322251971752174777508798630448172880706494
8,Attack,Generic,Attack,true,85197108,146256115,655519219071768108752676505169006009193433960104662952154242986605834974418,3609202966381459077748453328211332453541779596440956420777278203182510778014
9,Normal,Normal,Normal,true,120858704,110594519,19215560318715557053083802742503123279284745394900636992718487825780066807866,7187756270045715720150095407877740118209483201487487690862293995929659023474
10,Attack,Fuzzers,Attack,true,114622688,116830535,12581709693251226476494417447091744809809675357078063021686257496851703260875,18682681826995221593976188415047508422601526797390027733464030828184112260280
11,Normal,Normal,Normal,true,117402421,114050802,12075538518994130945968806315556637842619400627108613467002393102399322197117,7177820567402575511476912953941168863324608163424114124160207784570149297611
12,Attack,Fuzzers,Attack,true,114622688,116830535,12581709693251226476494417447091744809809675357078063021686257496851703260875,12164018785288156356558319516955540366677445487971420847339270207211869774738
13,Attack,Fuzzers,Attack,true,107881015,123572208,21278768529411270716219934973636254246161427683159536387815898661375327455174,17473624592490098787380299078306721437162766733549176517694302769323325432125
14,Normal,Normal,Normal,true,143561335,87891888,11974203438379602070227980001537752176232257280502263944321961608734130833371,11476942983722764068256444134447485255026782192667358362169118479779023901852
15,Attack,Backdoor,Attack,true,84804536,146648687,3510688458790026196975305261164168802616682095737316492926137139145703509627,5393474866178268431445675831612160075440139869081249103660546237683532100744
16,Attack,Generic,Attack,true,88182004,143271219,14219723581578960403796266333619154769421744248108628801235621413366922057830,13376858122157444920839277592755793287862509386153560333756127357859986571088
17,Normal,Normal,Normal,true,147451045,84002178,1658419378202678075712647946601119416286608770059079022539643883517970803620,3207340059867790416591737959293657255858846698626422037031782039783310752705
18,Normal,Normal,Normal,true,117047984,114405239,3195979896911757598249686465796538178961567609045141383188775362413525876884,92510260841598851292701558118082580235340804416455304895469826605694193060
19,Attack,Backdoor,Attack,true,84676184,146777039,20119740156767313692325029445149169499307018458900942803547513603357047012996,12370349639935850655391167462856591360782053196322141553515224361383877961492
20,Normal,Normal,Normal,true,143906880,87546343,17788246080613268093271941741238797926489300278529603800189547915116477737169,2123983445325161076530725322693665885742728967208463559097816271022247845422
21,Attack,Fuzzers,Attack,true,86297116,145156107,10993226693071256292510299965842353772288388793836447336800979277066671214540,12947075222748260114421869431666051522690994603825840537262050311256103154585
22,Normal,Normal,Normal,true,154296460,77156763,20594522415552808074176078298433536772551967402875820025792196880866780903434,2580273101214944643600183125185660111766989242630613175982068618488331406113
23,Normal,Normal,Normal,true,143737495,87715728,10188507744227058591153086680847329073778597221860447281252756150623147394498,1382222544808478913131697715653319288759876894688618276431614480587042541443
24,Normal,Normal,Normal,true,144441477,87011746,15389499964962046281004333477575973343823669456032885244959338168421578767861,4510138905011522650687036068186064545731282755848243768439954728080822937230
25,Normal,Normal,Attack,false,114622688,116830535,12581709693251226476494417447091744809809675357078063021686257496851703260875,12223588656227584993247516811389429365550560137325515712850173345704183992473
26,Normal,Normal,Attack,false,114622688,116830535,12581709693251226476494417447091744809809675357078063021686257496851703260875,11875583063815761223486994495604376059933197086853025416490268484560549342721
27,Normal,Normal,Normal,true,143561335,87891888,11974203438379602070227980001537752176232257280502263944321961608734130833371,18153621463713786295862726893113751996820660850854033108393172132675924568741
28,Normal,Normal,Normal,true,143561335,87891888,11974203438379602070227980001537752176232257280502263944321961608734130833371,14996367391104228138913167680260219440555684399203856367910089539024858527854
29,Attack,Generic,Attack,true,66852560,164600663,2420070673186292122586149498910635229622941416969367387029640935394691616499,8853310895399193363026055258090850088158454843924012326710292198054944355953
30,Attack,Generic,Attack,true,72264764,159188459,16400065433110400514658902854285361148808047101389579159635974886546003352254,7101083613688889883354983742524973250429097360607700141178616988511294493693
31,Attack,Exploits,Normal,false,198724576,32728647,15068469085885456156122032207326975878623262773722285956661562427578377810392,3304311590020438338646674368068165530811127533949363406617945867694805745110
32,Attack,Generic,Attack,true,43518336,187934887,13632430222904682829459458716274210528885015431909795095553734292547636318565,5197754765210190828756975827108279256787845055861592128950685284137143228667
33,Normal,Normal,Normal,true,120858704,110594519,19215560318715557053083802742503123279284745394900636992718487825780066807866,11759649819702595804804363473617020411072997198350058184359776518425299348893
34,Normal,Normal,Normal,true,116605532,114847691,11864278624055954902167790158082639120291083914372726823876617485975788873837,13593406955003028950872695216399312769185897248422173802251781461644232602216
35,Normal,Normal,Normal,true,148041661,83411562,18906501069582205751993645046544539333203969386540185615460469338037936155950,3029094272959386420183470557391904375218483878182164470978006100779507450227
36,Attack,Generic,Attack,true,49780360,181672863,15169237023829208220502684020223760122984903267790780921545061755842065033611,20948312325467089315775736712627504457950060444574401758764752282413460071163
37,Normal,Normal,Normal,true,143561335,87891888,11974203438379602070227980001537752176232257280502263944321961608734130833371,19545015910019600057046421195299218203909332937704769437762462984289265129764
38,Normal,Normal,Normal,true,163511705,67941518,16772972807158356275302035632586074767918631740744526056599452040703425363927,1394838888276848977049220034957183611623011960365081685536239444846384901760
39,Normal,Normal,Normal,true,145429657,86023566,8371033952422379433379668197413354235832239347380478669250066777076726081989,13312880222589682332304400673628504895035333611006512264472940182570854398976
40,Attack,Reconnaissance,Attack,true,87454999,143998224,1786911696038277604976470701978564608433142895637923430264274524603951142610,13536160629746612543247342493051486367549832150020620794518616675021579775352
41,Attack,Generic,Attack,true,94574420,136878803,5609739998746278769786281524533419795422508323000322752433116372726408206576,5820866282129760528249822534801150048967814460375620088314038657464202559865
42,Attack,Fuzzers,Attack,true,86601568,144851655,20001543714877906071757294151000594016322968963689866507773243401117647474959,4576438702274837932563572839766374669887055250068730084058598508477966864157
43,Attack,DoS,Attack,true,96501088,134952135,9294203431036558885121729306324052281004561521598431422804782145536380007124,16003637219171976766429179754210341485816193048464687948031322026164874565998
44,Attack,Generic,Normal,false,134015743,97437480,14877805663414546667079664202721644343580612046855800227993465648749929948864,13006889909463841333648729346572621554817557664560267549794477313596719742791
45,Attack,DoS,Attack,true,97361004,134092219,14304952086664262724896959969630739624501215616371617734116642272446517401096,1008302938445591857307080475264185449337597406770364985374537566478127626382
46,Normal,Normal,Attack,false,112339432,119113791,7694704069533071855757606105747335653492387785232011708342900963426332372424,3462621591270981511520591397416327204353343481422382491041774123392664475372
47,Normal,Normal,Normal,true,153662704,77790519,5792477189769573044308598353140009464284362485345834911968407954242568684889,9136946121763151783717887085211266296620738217795919525473687267368920886978
48,Attack,Exploits,Normal,false,137269733,94183490,19180264423810854115211932727936882403494898491922402645596980806579618687827,4689880757395479364843206857815498377914405825737909357611175764301306310487
49,Attack,Generic,Attack,true,67532500,163920723,5743178861801793450861756959400619115664006563720400947074518099996030065484,20428710247677929637518097401529692125834618626654121250937917195134250159081
50,Normal,Normal,Normal,true,143691888,87761335,15781064874715575219467683506107521025414199545704311638237050656710509456067,18137532454821930520599426900568691618601807005260297961384845868349842921884
51,Attack,Fuzzers,Attack,true,83858608,147594615,20377622936483676563928809363705358678723696622160578867934092109794442790225,7419034836798392235183728221120114685737522077177380414323530807354998278406
52,Normal,Normal,Normal,true,145908751,85544472,15046950944942401739721154309631040787328977307715666539856839214642482015582,15010411815548175212156061971057207175054617906237212076806808875951648573545
53,Attack,Exploits,Attack,true,87585020,143868203,2697878411039213116643475098532703903886368236027380206128617998560415045963,10222956022464547254880144126011672721711945177921758222666560055508866771272
54,Attack,Generic,Attack,true,72264764,159188459,16400065433110400514658902854285361148808047101389579159635974886546003352254,12969916529849283511084411321014624298336829526050858826007735552173428708024
55,Attack,Analysis,Attack,true,86297116,145156107,10993226693071256292510299965842353772288388793836447336800979277066671214540,17595643814051321918134448448303300566331910354184432404855269812226273149081
56,Normal,Normal,Normal,true,146202748,85250475,5011112875783700571843827877266714911831022143437620291732823090786658796476,18653440626324888229008838252977661407270645365059100232146882221623407120930
57,Normal,Normal,Normal,true,125597200,105856023,1260085348419849085713917346484857163282537024933019910784186707487699882828,12282924082920502531863414183575929536966609648910557897844465518403496823
58,Normal,Normal,Normal,true,143561335,87891888,11974203438379602070227980001537752176232257280502263944321961608734130833371,13055403632752693095086089055943393335375223082029463496242696160766156430931
59,Normal,Normal,Normal,true,143561335,87891888,11974203438379602070227980001537752176232257280502263944321961608734130833371,14282191870707070207064929820949755585545059130758402338581979485894393537831
60,Normal,Normal,Normal,true,143710968,87742255,14299523052369245679704327882433217410145075775984209135416139415685835659139,20433041469300248555060114694996179540536954203174098147960353677936131908948
61,Attack,Generic,Attack,true,87995708,143457515,8887757279013835773032061913822268453599000283814051580725312701369510562747,18882251321676450585861811808933708805798160263078586403052470473484120553535
62,Normal,Normal,Normal,true,144758884,86694339,5788544193214434943214498123001054467956300695972087594343554350509400111824,21762322888918649515586549453743407889874565958763771001424853599197376825938
63,Normal,Normal,Normal,true,145193980,86259243,795158611942843391010783317688370704380678864927011488200384988825650289433,18957178767124699492288536470971670375612929550597281101041842821061475204460
64,Attack,DoS,Attack,true,86599636,144853587,1390726214268141809136580153527504198920324705655181228249594194833220666501,3021312604617394365963616890544622314650445964139647683776788802230082302541
65,Attack,Fuzzers,Attack,true,9185503,222267720,21413107432275666517762429068807269871487645390033863803985765385534029755001,18083635922466269860665478669312019291508042804510819956779737232462921211912
66,Attack,Fuzzers,Attack,true,89011056,142442167,10417615662372844408668593400863265803839497464608036441183915749085099693655,5006501224736796191302273030050412877022363835988302922642602783030810391701
67,Normal,Normal,Normal,true,135433352,96019871,11649618141808413710751263432620912842638666163644503209594910598273387475163,19293183833609527785222860369853446578072451196501263153175509249194234330793
68,Normal,Normal,Normal,true,147451045,84002178,1658419378202678075712647946601119416286608770059079022539643883517970803620,4605690978048799599913697199838240474413400490032834247292006142098759429893
69,Attack,Fuzzers,Normal,false,146270967,85182256,16865686858140602126532713489901894056928049882124154188225240046233888750171,14527614928121055861748441716638411374244144851104608465981675138652523550166
70,Normal,Normal,Normal,true,143973916,87479307,14832593409521082890614145282130306585309790681076174919470835249867229388862,10170589661385769700219030349855385387009934369658154114653705759904449390919
71,Attack,Generic,Attack,true,98269104,133184119,1758999916486018720094688562497335812264443521171233009537585829046066141941,16706001338147084358405019803391463692919478820396219720232014659636622785660
72,Attack,Exploits,Normal,false,134680292,96772931,14578322917807957583354342319471466102277284739722670270697748565483213848177,21202596276265287696457571536686594542277039087288964272904594906937322490019
73,Normal,Normal,Normal,true,122301988,109151235,7133960206637386739401057359897755689313127454682483275501076470752899064081,1895196373546469893581084467457717189333007524016095046206753259316495398389
74,Normal,Normal,Normal,true,143810788,87642435,3096837310911373930582296591481912069928019641478263930637586565863553329316,1254621320575273380831505489130825955709125265512909372157858464408264773518
75,Normal,Normal,Attack,false,95144933,136308290,2744819281195543871529482673547499220952556528083062574687527630723908799507,6939567672862830518154997570178242027994919068237643997419743375013190439931
76,Attack,Exploits,Attack,true,110605548,120847675,10654594752853157882892999961164904455231696941847236059249395868189380406360,15169561424272956176412084267794859010807668990298876520745733087981193025239
77,Normal,Normal,Normal,true,143426748,88026475,2495260842517671390462195808142772322746918206878459285695948156517067698785,2554195867017662625870997581593735767827401240442524305577556123267724520618
78,Attack,Generic,Attack,true,37635992,193817231,508739554467597794362867920735869343337742477720597506067647659541056143629,5446312364362892500632485088961249649497897628602505017393377089397307269656
79,Normal,Normal,Normal,true,125707688,105745535,8825690164861800536743657643046610920595099380181694343634008072835219125310,13707810256836495196875841460704656282385360930458968915381320662952171962670
80,Normal,Normal,Normal,true,145193980,86259243,795158611942843391010783317688370704380678864927011488200384988825650289433,10686049238643316399203092369421635905542501857289582149177960612252062693368
81,Normal,Normal,Normal,true,118814288,112638935,17045030007504406177229510845402710377294169293023480033414513579220580153069,11521703348991255619201934315973256436641718403868980521762698921080048523007
82,Attack,Reconnaissance,Attack,true,86254732,145198491,1215140721543744860553939655258193227237259023372856580832438356086907052421,21018262925160253098848122395136984209266726458363787224867811126664030707466
83,Attack,Exploits,Normal,false,136656136,94797087,527945072362848622494291494579621625421224301704706963747505449472105951869,6891874203189338008408543919760700308629196150787281536846750036087040580548
84,Attack,Generic,Attack,true,87995708,143457515,8887757279013835773032061913822268453599000283814051580725312701369510562747,9364722295502553732889698761380564000655464719816970262405717862023003481438
85,Normal,Normal,Attack,false,90079669,141373554,13211867065840188931019249581687470526713165931746405730374248559331488234867,18800685589418339747922249243323762145137736523948053699066346960429516866126
86,Attack,Generic,Normal,false,117402421,114050802,12075538518994130945968806315556637842619400627108613467002393102399322197117,6783373033192877616086737519426331284067146360650426572989191576083300405408
87,Attack,Fuzzers,Normal,false,116073904,115379319,11171236583855012464158505791377939116654650532374895838266867371407056439845,10574157893347240135549728861050106785352267142982191099984554510600001891270
88,Normal,Normal,Normal,true,146686384,84766839,15072503373672737297256417531944690981034837216946209579175739180587838237966,16148346943797684267831278547649200678012582188384294814946629769692526517716
89,Normal,Normal,Normal,true,147877720,83575503,13380728964805842355244252782768165726235850876669429496836822375322867282904,6883275283456634036573727349472779126583771087620282275955211505451572007636
90,Normal,Normal,Attack,false,92791116,138662107,12090324642566376418791498155097371291430137728274488984099776325632439279013,12532267629169527505899585846743212246744034980059668533897032357866646390841
91,Attack,Exploits,Normal,false,136656136,94797087,527945072362848622494291494579621625421224301704706963747505449472105951869,19662350232379297690620659667100952233810096661009380501251195555299840850665
92,Attack,Generic,Attack,true,98269104,133184119,1758999916486018720094688562497335812264443521171233009537585829046066141941,10149257533355158290479362251915452288809935778147056090676176936103912956661
93,Attack,Generic,Attack,true,87272368,144180855,20592920241120122054686276261103203451785570979090452666236099388615847965665,8367123281940690815040599926199189644097979543803039622743861723674584444274
94,Normal,Normal,Attack,false,114622688,116830535,12581709693251226476494417447091744809809675357078063021686257496851703260875,17238373917103958131604417686245723647837162774315212297195320995655257110709
